ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
410,S/E PUCHOCO,SE060,SE060T0058,60,CGE TRANSMISIÓN S.A.,No,No,Sí
411,S/E TALCA,SE061,SE061T0058,61,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
412,S/E TALCAHUANO,SE062,SE062T0058,62,CGE TRANSMISIÓN S.A.,Sí,No,Sí
413,S/E TOME,SE063,SE063T0058,63,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
414,S/E TRAIGUEN,SE064,SE064T0058,64,CGE TRANSMISIÓN S.A.,No,No,Sí
415,S/E TRES PINOS,SE065,SE065T0058,65,CGE TRANSMISIÓN S.A.,No,Sí,Sí
416,S/E TUMBES,SE066,SE066T0058,66,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
417,S/E TUNICHE,SE067,SE067T0058,67,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
418,S/E VICTORIA,SE068,SE068T0058,68,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
419,S/E VICUÑA,SE069,SE069T0058,69,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
420,S/E LOS MAQUIS (CGE),SE070,SE070T0058,70,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
421,S/E OVALLE,SE071,SE071T0058,71,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
422,S/E LIRQUEN,SE072,SE072T0058,72,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
423,S/E LO MIRANDA,SE073,SE073T0058,73,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
424,S/E LOMA COLORADA,SE074,SE074T0058,74,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
425,S/E LORETO,SE075,SE075T0058,75,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
426,S/E LOS ANGELES (CGE),SE076,SE076T0058,76,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
427,S/E MAHNS,SE077,SE077T0058,77,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
428,S/E MALLOA,SE078,SE078T0058,78,CGE TRANSMISIÓN S.A.,No,Sí,Sí
429,S/E MANSO DE VELASCO,SE079,SE079T0058,79,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
430,S/E MARQUESA,SE080,SE080T0058,80,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
431,S/E PUNITAQUI,SE081,SE081T0058,81,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
432,S/E MONTE PATRIA,SE082,SE082T0058,82,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
433,S/E PUMAHUE,SE083,SE083T0058,83,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
434,S/E PADRE LAS CASAS,SE084,SE084T0058,84,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
435,S/E PAINE,SE085,SE085T0058,85,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
436,S/E PANGUILEMO,SE086,SE086T0058,86,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
437,S/E PELEQUEN,SE087,SE087T0058,87,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
438,S/E PENCO,SE088,SE088T0058,88,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
439,S/E PERALES,SE089,SE089T0058,89,CGE TRANSMISIÓN S.A.,Sí,No,Sí
440,S/E PIDUCO,SE090,SE090T0058,90,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
441,S/E PILLANLELBUN,SE091,SE091T0058,91,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
442,S/E PITRUFQUEN,SE092,SE092T0058,92,CGE TRANSMISIÓN S.A.,No,No,No
443,S/E VILLARRICA,SE093,SE093T0058,93,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
444,S/E MAULE,SE094,SE094T0058,94,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
449,S/E CHACAHUIN,SE100,SE100T0058,100,CGE TRANSMISIÓN S.A.,Sí,No,Sí
460,S/E EL MANZANO (CGE),SE115,SE115T0058,115,CGE TRANSMISIÓN S.A.,No,Sí,Sí
461,S/E PIRQUE,SE117,SE117T0058,117,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
462,S/E POLPAICO (CEMENTO POLPAICO),SE124,SE124L0025,124,CEMENTO POLPAICO S.A.,Sí,Sí,Sí
463,S/E SAN PEDRO (CGE),SE120,SE120T0058,120,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
469,S/E CURICO,SE126,SE126T0058,126,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
470,S/E TENO,SE127,SE127T0058,127,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
471,S/E COCHARCAS (CGE),SE128,SE128T0058,128,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
472,S/E LONCOCHE,SE129,SE129T0058,129,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
473,S/E PARRAL,SE130,SE130T0058,130,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
474,S/E PULLINQUE,SE131,SE131T0058,131,CGE TRANSMISIÓN S.A.,Sí,No,Sí
475,S/E QUEREO,SE132,SE132T0058,132,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
476,S/E VILLA ALEGRE,SE133,SE133T0058,133,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
477,S/E TENO EMPALME,SE134,SE134T0058,134,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
478,S/E ISLA DE MAIPO,SE136,SE136T0058,136,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
479,S/E MARGA MARGA,SE137,SE137T0058,137,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
484,S/E CORONEL,SE142,SE142T0058,142,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
486,S/E PUCON,SE144,SE144T0058,144,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
487,S/E MARBELLA,SE145,SE145T0058,145,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
488,S/E ROSARIO,SE146,SE146T0058,146,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
489,S/E MACHALI,SE147,SE147T0058,147,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
491,S/E SAN JUAN,SE149,SE149T0058,149,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
492,S/E LAS ENCINAS,SE150,SE150T0058,150,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
493,S/E MALLOA NUEVA,SE151,SE151T0058,151,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
494,S/E NEWEN,SE152,SE152T0058,152,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
496,S/E QUINTA DE TILCOCO,SE154,SE154T0058,154,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
498,S/E EL MANCO,SE208,SE208T0058,208,CGE TRANSMISIÓN S.A.,Sí,Sí,No
499,S/E ALHUE,SE209,SE209T0058,209,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
500,S/E ZONA DE CAIDA,SE001,SE001T0008,1,PALMUCHO S.A.,Sí,No,Sí
502,S/E CORRAL,SE001,SE001T0003,1,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,Sí,Sí,Sí
503,S/E ANCUD,SE002,SE002T0003,2,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
504,S/E CHOLGUAN (STS),SE004,SE004T0003,4,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,No,Sí,Sí
