ID,Nombre,Tipo,Propietario,Región,Comuna,Nemotécnico,Coordinado
230,HP NALCAS,Hidroeléctricas,HIDROENERSUR SPA,Los Lagos,Puerto Octay,CE04G0476,HIDRONALCAS S.A.
231,HP RUCATAYO,Hidroeléctricas,EMPRESA ELÉCTRICA RUCATAYO S.A.,Los Lagos,Puyehue,CE01G0093,EMPRESA ELÉCTRICA RUCATAYO S.A.
234,HP PROVIDENCIA,Hidroeléctricas,HIDROELÉCTRICA RÍO LIRCAY S.A.,Maule,San Clemente,CE03G0071,HIDROELÉCTRICA RÍO LIRCAY S.A.
235,PMGD TER TAMM,Termoeléctricas,ROBERTO TAMM Y CIA LTDA.,OHiggins,Chimbarongo,CE01G0128,ROBERTO TAMM Y CIA LTDA.
236,TER CAMPICHE,Termoeléctricas,EMPRESA ELÉCTRICA VENTANAS SPA,Valparaíso,Puchuncaví,CE10G0049,EMPRESA ELÉCTRICA VENTANAS SPA
237,PMGD TER TREBAL MAPOCHO,Termoeléctricas,AGUAS ANDINAS S.A.,Metropolitana,Padre Hurtado,CE02G0652,AGUAS ANDINAS S.A.
238,PE TALINAY ORIENTE,Eólicas,PARQUE TALINAY ORIENTE S.A.,Coquimbo,Ovalle,CE01G0104,PARQUE TALINAY ORIENTE S.A.
239,PFV SDGX01,Solares,FLORIDA ENERGÍA SPA,Coquimbo,Andacollo,CE13G1034,FLORIDA ENERGÍA SPA
240,TER SANTA MARTA,Termoeléctricas,CONSORCIO SANTA MARTA S.A.,Metropolitana,Talagante,CE01G0111,CONSORCIO SANTA MARTA S.A.
241,HP MC1,Hidroeléctricas,HIDROENERSUR SPA,Los Lagos,Puerto Octay,CE01G0476,HIDROENERSUR SPA
